Category,Feature,Old Approach,New Status,Action,Complexity,Timeline,Rationale
Map,Marker clustering,react-leaflet-markercluster,Basic markers only,Recreate,🟡 Medium,M2W2,Essential UX when >30 projects; keeps map readable
Map,Polygon rendering,mapUtils.ts + status-colored coords,Missing,Recreate,🔴 High,M2W2–3,Core geographic context; requires coordinate validation + layer management
Map,Street/Satellite toggle + labels,Imperative tile swap,Missing,Migrate,🟢 Low,M2W1,Simple Leaflet TileLayer swap; low risk
Map,Auto-zoom + popup on select,MapSection.tsx imperative logic,Partial (FitBounds in MapView),Enhance,🟢 Low,M2W1,Already 80% there; just wire selectedProjectId to popup
Map,Card ↔ Map sync service,290L imperative DOM service,Zustand ui.selectedProjectId,Recreate,🟡 Medium,M2W2,Replace DOM manipulation with declarative store-driven sync
Search,300ms debounced input,useFilteringLogic.ts,Missing,Recreate,🟢 Low,M2W1,Standard useDebounce hook; prevents filter thrashing
Search,Relevance scoring + highlighting,Weighted scoring + <strong> wrap,Missing,Recreate,🟡 Medium,M2W1,Needs DOMPurify for XSS safety; keep scoring simple (name > desc > field)
Search,Expert filtering,useExpertFilter.ts,Missing,Recreate,🟢 Low,M2W1,Mirror useProjectFilters logic; share base util
A11y,"Controls panel (colors, font size)",useUIStore + localStorage,Missing,Migrate,🟡 Medium,M2W3,Merge into Zustand ui slice + generic useLocalStorage hook
UI,Reusable Modal base,common/Modal.tsx" (focus trap, ESC, scroll lock)",Missing,Recreate,🟢 Low,M2W3,Critical for Add Project/Volunteer later; TDD-friendly
UI,ErrorBoundary,common/ErrorBoundary.tsx,Missing,Recreate,🟢 Low,M2W3,Production safety net; 30 lines + fallback UI
Data,Full API service,apiService.ts + fallback to mock,mockApi.ts only,Recreate,🔴 High,M2W1,"Zod validation, retry logic, env-driven "VITE_API_BASE_URL
Utils,HTML sanitization,sanitizationUtils.ts (DOMPurify),Missing,Add Dep,🟢 Low,M2W1,Required for safe search highlighting
Hooks,useLocalStorage,Custom hook,Missing,Recreate,🟢 Low,M2W3,"Generic, reusable, SSR-safe"
Hooks,useDebounce,Inline in filter logic,Missing,Recreate,🟢 Low,M2W1,Standard pattern; isolates timing from filter logic
Deps,react-router-dom,Used for routing,Explicitly avoided,🗑️ Drop,—,—,Per your spec; single-page layout works fine
Deps,react-card-flip,External flip library,Replaced by useCardFlip,🗑️ Drop,—,—,✅ Already done; custom hook is lighter & testable
Deps,@tanstack/react-query,Data fetching cache,Zustand + custom fetch,🗑️ Drop,—,—,Overkill for current scope; adds bundle + cognitive load
Features,Add Project / Volunteer Modals,Full forms + polygon draw,Missing,Recreate,🔴 High,M3,Deferred until real API is stable; requires form validation + Leaflet Draw
Features,Logging/Analytics service,267L custom logger + gtag,Missing,🗑️ Drop,—,—,Use Sentry/LogRocket later if needed; custom logger is maintenance debt
Features,i18n / Auth / Favorites / Notifications,Stubbed placeholders,Missing,🗑️ Drop,—,—,"Not in v1 scope; adds auth flow, DB, service workers, i18n routing"
